Compared 252 tensors against PTQ(base).
tensor                                                                  cos_mean   cos_std   cos_min   cos_max
    11    0.7946   0.7917   0.7980
    12    0.7944   0.7915   0.7972
    13    0.7939   0.7883   0.7972
    14    0.7941   0.7884   0.7968
    15    0.7935   0.7866   0.7964
    16    0.7940   0.7877   0.7971
    17    0.7936   0.7875   0.7961
    18    0.7935   0.7860   0.7964
    19    0.7920   0.7848   0.7953
    20    0.7932   0.7872   0.7960
    21    0.7927   0.7877   0.7951
    22    0.7922   0.7866   0.7956
    23    0.7921   0.7820   0.7958
    24    0.7915   0.7746   0.7964
    25    0.7950   0.7915   0.7980
    26    0.7950   0.7893   0.7975
    27    0.7948   0.7879   0.7973
    28    0.7952   0.7917   0.7978
    29    0.7937   0.7795   0.7980
    30    0.7943   0.7839   0.7981
    31    0.7940   0.7839   0.7980
    32    0.7934   0.7823   0.7978
    33    0.7928   0.7822   0.7975
    34    0.7933   0.7846   0.7972
    35    0.7947   0.7880   0.7980

PTQ(base) row cosine vs base:
  mean = 0.7923
  median = 0.7947
  range = [0.6543, 0.7989]
  prediction sqrt(2/pi) ≈ 0.7979 (Gaussian ideal)
